,concept,annotation,pattern,subject,property,object,individual,Unnamed: 0,Unnamed: 0.1
0,Control Risk,Control Risks be process implement risk response plan track identified risk monitor risk identify risk evaluate risk process effectiveness project,['risk evaluate project'],Control Risk,evaluate ,project,,,
1,Control Risk Inputs,,[],,,,,,
2,Control Risk Outputs,,[],,,,,,
3,Control Risk tools_and_techniques,,[],,,,,,
0,Control Risk tools_and_techniques,Project risk reassessment should be schedule,[' reassessment be schedule'],risk reassessment,be,schedule,risk reassessment,,
1,Control Risk tools_and_techniques,Risk audit examine document effectiveness risk response deal identified risk their root cause effectiveness risk management process,[' deal identified risk'],risk Audits,identified,risk,risk Audits,,
2,Control Risk tools_and_techniques,Earned value analysis method project variance trend analysis may be use monitoring project performance,[' variance monitore performance'],Variance and trend Analysis,monitore,performance,Variance and trend Analysis,,
3,Control Risk tools_and_techniques,performance measurement compare accomplishment project execution schedule achievement,[' measurement compare achievement'],technical Performance Measurement,compare,achievement,technical Performance Measurement,,
4,Control Risk tools_and_techniques,Reserve analysis compare amount contingency reserve remain amount risk remain time project order determine remain reserve be,[' analysis compare reserve'],reserve Analysis,compare,reserve,reserve Analysis,,
5,Control Risk tools_and_techniques,discussion risk make it more people will identify risk opportunity,[' people identify opportunity'],Meetings,identify,opportunity,Meetings,,
0,Control Risk Outputs,Work performance information provide mechanism communicate support project decision making,[' information provide mechanism'],Work Performance Information,provide,mechanism,Work Performance Information,,
1,Control Risk Outputs,Change request be prepared submit Perform Integrated Change Control process,[' requests prepare change'],change requests,prepare,change,change requests,,
2,Control Risk Outputs,correspond component document project management plan be revise reissued reflect approve change,[' updates revise change'],Project Management Plan updates,revise,change,Project Management Plan updates,,
3,Control Risk Outputs,Project document may be update result Control Risk process include Outcomes risk reassessment risk audit risk review outcome project risk risk response,[' documments include response'],Project documents updates,include,response,Project documents updates,,
4,Control Risk Outputs,process asset may be update include Templates risk management plan Risk breakdown structure Lessons learn,[' assets include structure'],organizational Process Assets updates,include,structure,organizational Process Assets updates,,
0,Control Risk Inputs,project management plan provide guidance risk monitoring control,[' plan provide control'],Project Management Plan,provide,control,Project Management Plan,,
1,Control Risk Inputs,risk register have input include identified risk risk owner,[' register have input'],risk register,have,input,risk register,,
2,Control Risk Inputs,Work performance data relate performance result impact risk include be Deliverable status Schedule progress Costs incur,[' data relate result'],Work Performance data,relate,result,Work Performance data,,
3,Control Risk Inputs,Work performance report take information performance measurement analyze it provide project work performance information,[' it provide information'],Work Performance reports,provide,information,Work Performance reports,,
0,Identify Risk,Identify Risks be process determine risk may affect project document their characteristic,['risks process affect'],risks,process,affect,,0.0,
1,Identify Risk tools_and_techniques,project documentation may be perform include plan assumption project file agreement information,['documentation perform assumption'],documentation,perform,assumption,documentation reviews,0.0,
2,Identify Risk tools_and_techniques,goal brainstorming be obtain list project risk project team performs brainorming l Delphi technique be way reach consensus expert Project risk expert participate technique,[' brainstorming be team'],brainstorming,be,team,Information Gathering techniques,1.0,
3,Identify Risk tools_and_techniques,Risk identification checklist be develop base information knowledge have be accumulate project source information,[' checklist develop knowledge'],checklist,develop,knowledge,checklist Analysis,2.0,
4,Identify Risk tools_and_techniques,Assumptions analysis explore validity assumption they apply project,['analysis validity apply'],analysis,validity,apply,Assumptions Analysis,3.0,
5,Identify Risk tools_and_techniques,ause effect diagram be know Ishikawa fishbone diagram be identify cause risk,['diagram identify cause'],diagram,identify,cause,diagramming techniques,4.0,
6,Identify Risk tools_and_techniques,technique examines project strengths weakness opportunity threat S W O T perspectives increase breadth identified risk include generated risk,['technique strenghts perspective'],technique,strenghts,perspective,SWot Analysis,5.0,
7,Identify Risk tools_and_techniques,he expert bias should be take account process,[' bias take process'],bias,take,process,Expert Judgment,6.0,
8,Identify Risk Outputs,risk register be document result risk analysis risk response planning be record identified risk be describe as detail be structure describe risk use risk statement may be apply response risk may be identify Identify Risks process,['analysis risk planning'],risk register,risk,planning,risk register,0.0,
9,Identify Risk Inputs,Published information include database Academic study Published checklist Benchmarking Industry study Risk attitude,[' information include attitude'],risk Management Plan ,include,attitude,risk Management Plan ,0.0,
10,Identify Risk Inputs,process asset can influence Identify Risks process,[' asset influence Risks'],cost Management Plan,influence,Risks,cost Management Plan,1.0,
11,Identify Risk Inputs,risk management plan contribute Identify Risks process be assignment role responsibility,[' process be responsibility'],Schedule Management Plan,be,responsibility,Schedule Management Plan,2.0,
12,Identify Risk Inputs,he schedule management plan provide insight project time schedule objective expectation may be impact risk,"[' he schedule plan', ' expectation be risk']",Quality Management Plan,schedule,plan,Quality Management Plan,3.0,
13,Identify Risk Inputs,Work performance data relate performance result impact risk include,['relate performance result'],Human resource Management Plan,performance,result,Human resource Management Plan,4.0,
14,Identify Risk Inputs,quality management plan provide quality measure,[' plan provide measure'],Scope Baseline,provide,measure,Scope Baseline,5.0,
15,Identify Risk Inputs,provide guidance project resource should be define,['provide guidance project'],Activity cost Estimates,guidance,project,Activity cost Estimates,6.0,
16,Identify Risk Inputs,W B S be input identify risk it facilitate understanding risk both micro level,['facilitate understand risk'],Activity duration Estimates,understand,risk,Activity duration Estimates,7.0,
17,Identify Risk Inputs,Activity cost estimate review be identify risk they provide quantitative assessment cost schedule activity,['review quantitve assessment'],Stakeholder register,quantitve,assessment,Stakeholder register,8.0,
18,Identify Risk Inputs,Activity duration estimate review be identify risk related time allowance activity project,[' review identify project'],Project documents,identify,project,Project documents,9.0,
